ポイント名,外気温,GHP-1     ｶﾞｽ量,GHP-1     1F 室内温度,GHP-1     ｶﾞｽ消費率,GHP-1     1F 運転状態
単位,℃,m3,℃,%,分
2017/4/5 17:00,17.3,0,19.5,0,0
2017/4/5 18:00,17.3,0,20,0,0
2017/4/5 19:00,16.7,0,19.5,0,0
2017/4/5 20:00,15.8,0,20,0,0
2017/4/5 21:00,16.2,0,20,0,0
2017/4/5 22:00,16.1,0,20,0,0
2017/4/5 23:00,14.2,0,20,0,0
2017/4/6 0:00,14.3,0,20,0,0
2017/4/6 1:00,13.9,0,20,0,0
2017/4/6 2:00,13.4,0,19.5,0,0
2017/4/6 3:00,12.3,0,19.5,0,0
2017/4/6 4:00,12.2,0,19.5,0,0
2017/4/6 5:00,12.7,0,19.5,0,0
2017/4/6 6:00,13.9,0,19.5,0,0
2017/4/6 7:00,15.7,0,19.5,0,0
2017/4/6 8:00,18.1,0,19.5,0,0
2017/4/6 9:00,18.4,0,19.5,0,0
2017/4/6 10:00,20.1,0,19.5,0,0
2017/4/6 11:00,20.6,0,19.5,0,0
2017/4/6 12:00,20.4,0,19.5,0,0
2017/4/6 13:00,20.7,0,20,0,0
2017/4/6 14:00,20.7,0,20,0,0
2017/4/6 15:00,19.7,0,20,0,0
2017/4/6 16:00,19.6,0,19.5,0,0
2017/4/6 17:00,19.5,0,19.5,0,0
2017/4/6 18:00,19.1,0,19.5,0,0
2017/4/6 19:00,17.9,0,19.5,0,0
2017/4/6 20:00,17.7,0,19.5,0,0
2017/4/6 21:00,17.1,0,19.5,0,0
2017/4/6 22:00,16.5,0,19.5,0,0
2017/4/6 23:00,15.7,0,19.5,0,0
2017/4/7 0:00,15.5,0,19,0,0
2017/4/7 1:00,15.4,0,19,0,0
2017/4/7 2:00,15,0,19,0,0
2017/4/7 3:00,15.3,0,19,0,0
2017/4/7 4:00,15,0,19,0,0
2017/4/7 5:00,15.1,0,19,0,0
2017/4/7 6:00,15.6,0,19,0,0
2017/4/7 7:00,16,0,19,0,0
2017/4/7 8:00,16.9,0,19,0,0
2017/4/7 9:00,17.5,0,19.5,0,0
2017/4/7 10:00,18.1,0,20,0,0
2017/4/7 11:00,19.4,0,20,0,0
2017/4/7 12:00,19.7,0.8,20,0,26
2017/4/7 13:00,19.5,0,22.5,0,60
2017/4/7 14:00,19.1,0,22,0,60
2017/4/7 15:00,18.8,0,22.5,0,60
2017/4/7 16:00,18.7,0,22.5,0,60
2017/4/7 17:00,18.6,0,23,0,60
2017/4/7 18:00,18.2,0,23,0,60
2017/4/7 19:00,17.9,0,23,0,60
2017/4/7 20:00,17.4,0,23,0,60
2017/4/7 21:00,17.1,0,23,0,60
2017/4/7 22:00,17.1,0,23,0,60
2017/4/7 23:00,17,0,22.5,0,60
2017/4/8 0:00,17.1,0,22.5,0,60
2017/4/8 1:00,17.1,0,22.5,0,60
2017/4/8 2:00,16.8,0,22,0,60
2017/4/8 3:00,16.9,0,22,0,60
2017/4/8 4:00,16.9,0,22,0,60
2017/4/8 5:00,16.9,0,22,0,60
2017/4/8 6:00,17.2,0,22,0,60
2017/4/8 7:00,17.5,0,22,0,0
2017/4/8 8:00,17.8,0,21.5,0,0
2017/4/8 9:00,17.9,0,21,0,0
2017/4/8 10:00,18.4,0,21,0,0
2017/4/8 11:00,19.2,0,21,0,0
2017/4/8 12:00,19.7,0,21.5,0,0
2017/4/8 13:00,19.8,0,22,0,0
2017/4/8 14:00,19.5,0,22,0,0
2017/4/8 15:00,18.8,0,22.5,0,0
2017/4/8 16:00,18.7,0,22,0,0
2017/4/8 17:00,18.6,0,21,0,0
2017/4/8 18:00,18.6,0,20,0,0
2017/4/8 19:00,18.4,0,20,0,0
2017/4/8 20:00,17.9,0,20,0,0
2017/4/8 21:00,17.9,0,20,0,0
2017/4/8 22:00,18,0,19.5,0,0
2017/4/8 23:00,18.2,0,19.5,0,0
2017/4/9 0:00,18.1,0,19,0,0
